Date,You­Tube Premi­um views,End screen ele­ment clicks,Dis­likes,Likes,Sub­scribers gained,Re­turn­ing view­ers,Unique view­ers,Im­pres­sions click-through rate (%),Im­pres­sions,Videos pub­lished,Videos ad­ded,Sub­scribers,Av­er­age per­cent­age viewed (%),Views,Watch time (hours),Av­er­age view dur­a­tion
Total,4200,163,84,5126,332,0,0,6.78,416515,112,122,195,2.97,63193,2012.6851,0:01:54
2022-01-01,1,1,0,19,13,40,71,5.01,1336,0,0,11,2.37,117,1.705,0:00:52
2022-01-02,8,2,0,76,31,180,246,7.28,4137,1,1,30,1.65,489,32.8326,0:04:01
2022-01-03,5,2,0,71,5,169,208,7.96,3695,1,1,3,1.87,391,30.7299,0:04:42
2022-01-04,8,2,0,77,6,176,228,8.73,3871,1,1,6,2.48,450,40.0851,0:05:20
2022-01-05,3,1,0,39,5,116,135,6.66,2299,1,1,4,4.7,209,16.6525,0:04:46
2022-01-06,3,2,0,3,3,29,38,4.55,879,0,0,2,5.41,61,4.4185,0:04:20
2022-01-07,0,0,0,3,2,16,30,3.92,561,0,0,1,1.6,51,0.8389,0:00:59
2022-01-08,9,2,0,59,6,136,165,7.13,2776,2,2,5,4.85,270,17.4081,0:03:52
2022-01-09,11,0,1,69,3,149,178,7.05,3446,1,3,3,2.03,357,25.3972,0:04:16
2022-01-10,15,2,1,124,33,197,434,5.9,8759,2,3,30,1.89,756,44.0431,0:03:29
2022-01-11,171,1,3,135,3,194,1824,6.66,4910,1,1,0,3.03,2101,34.873,0:00:59
2022-01-12,15,0,0,70,1,217,282,8.34,5312,1,1,-1,1.87,589,56.1935,0:05:43
2022-01-13,6,0,2,71,6,182,266,7.36,4919,1,1,5,2.56,495,45.354,0:05:29
2022-01-14,7,2,0,44,3,148,188,7.1,2973,1,1,2,5.8,302,29.0705,0:05:46
2022-01-15,8,1,0,38,3,135,180,5.21,3994,1,1,2,4.54,302,25.7799,0:05:07
2022-01-16,10,0,0,62,7,191,234,8.3,4239,1,1,6,3,471,44.2817,0:05:38
2022-01-17,2,1,0,5,1,28,51,3.27,1315,0,1,1,2.46,96,2.7103,0:01:41
2022-01-18,18,1,0,107,5,224,309,7.39,5155,2,2,4,2.72,569,35.5635,0:03:45
2022-01-19,152,0,4,95,2,162,1463,6.29,3531,1,1,2,4.39,1785,24.4002,0:00:49
2022-01-20,128,4,1,89,4,149,1524,5.25,3733,2,3,2,5.23,1670,15.9786,0:00:34
2022-01-21,6,0,0,59,13,187,240,6.08,4804,2,2,13,3.22,426,34.6992,0:04:53
2022-01-22,12,0,0,51,2,145,202,6.58,3083,1,1,-9,3.71,372,18.7132,0:03:01
2022-01-23,7,4,0,51,2,159,201,6.13,3603,1,1,0,3.02,332,29.2516,0:05:17
2022-01-24,12,1,0,46,3,148,185,7.2,3387,1,1,3,2.19,338,20.1279,0:03:34
2022-01-25,521,0,8,246,4,149,6177,5.94,3315,1,1,3,9.6,6747,65.8537,0:00:35
2022-01-26,18,1,-2,52,4,173,242,8.4,3310,1,1,3,3.35,493,35.291,0:04:17
2022-01-27,10,1,0,38,5,130,206,5.45,3227,1,1,5,4.29,343,16.2552,0:02:50
2022-01-28,5,0,0,53,2,165,244,8.18,2899,1,1,0,4.49,403,28.914,0:04:18
2022-01-29,9,2,0,48,3,107,217,4.45,4517,1,1,3,3.27,342,27.034,0:04:44
2022-01-30,11,4,0,45,5,130,167,6.2,3129,1,1,3,4.33,312,23.7556,0:04:34
2022-01-31,4,0,1,2,0,23,67,6.06,677,0,0,-2,4.3,101,2.8202,0:01:40
2022-02-01,13,0,0,44,2,106,139,6.88,2602,1,1,2,4.56,237,17.4242,0:04:24
2022-02-02,35,0,1,72,4,183,650,10.57,5821,1,1,3,1.41,837,36.951,0:02:38
